2025-11-15T21:23:48.938599 | NodeRED: True | Grafana: False
2025-11-15T21:23:56.038485 | NodeRED: True | Grafana: False
2025-11-15T21:24:03.094439 | NodeRED: True | Grafana: False
2025-11-15T21:24:10.174661 | NodeRED: True | Grafana: False
2025-11-15T21:24:17.269260 | NodeRED: True | Grafana: False
2025-11-15T21:24:24.333296 | NodeRED: True | Grafana: False
2025-11-15T21:24:31.422383 | NodeRED: True | Grafana: False
2025-11-15T21:24:38.483253 | NodeRED: True | Grafana: False
2025-11-15T21:24:45.539847 | NodeRED: True | Grafana: False
2025-11-15T21:24:52.598502 | NodeRED: True | Grafana: False
2025-11-15T21:24:59.691261 | NodeRED: True | Grafana: False
2025-11-15T21:25:06.749210 | NodeRED: True | Grafana: False
2025-11-15T21:25:13.812019 | NodeRED: True | Grafana: False
2025-11-15T21:25:20.894521 | NodeRED: True | Grafana: False
2025-11-15T21:25:27.946124 | NodeRED: True | Grafana: False
2025-11-15T21:25:35.017339 | NodeRED: True | Grafana: False
2025-11-15T21:25:42.074806 | NodeRED: True | Grafana: False
2025-11-15T21:25:49.136375 | NodeRED: True | Grafana: False
2025-11-15T21:25:56.215595 | NodeRED: True | Grafana: False
2025-11-15T21:26:03.279533 | NodeRED: True | Grafana: False
2025-11-15T21:26:10.366712 | NodeRED: True | Grafana: False
2025-11-15T21:26:17.417532 | NodeRED: True | Grafana: False
2025-11-15T21:26:24.492955 | NodeRED: True | Grafana: False
2025-11-15T21:26:31.556322 | NodeRED: True | Grafana: False
2025-11-15T21:26:38.611558 | NodeRED: True | Grafana: False
2025-11-15T21:26:45.675427 | NodeRED: True | Grafana: False
2025-11-15T21:26:52.757811 | NodeRED: True | Grafana: False
2025-11-15T21:26:59.827325 | NodeRED: True | Grafana: False
2025-11-15T21:27:06.906499 | NodeRED: True | Grafana: False
2025-11-15T21:27:13.996369 | NodeRED: True | Grafana: False
2025-11-15T21:27:21.059382 | NodeRED: True | Grafana: False
2025-11-15T21:27:28.117372 | NodeRED: True | Grafana: False
2025-11-15T21:27:35.200298 | NodeRED: True | Grafana: False
2025-11-15T21:27:42.278154 | NodeRED: True | Grafana: False
2025-11-15T21:27:49.351231 | NodeRED: True | Grafana: False
2025-11-15T21:27:56.415989 | NodeRED: True | Grafana: False
2025-11-15T21:28:03.475988 | NodeRED: True | Grafana: False
2025-11-15T21:28:10.549867 | NodeRED: True | Grafana: False
2025-11-15T21:28:17.631331 | NodeRED: True | Grafana: False
2025-11-15T21:28:24.693427 | NodeRED: True | Grafana: False
2025-11-15T21:28:31.758312 | NodeRED: True | Grafana: False
2025-11-15T21:28:38.828752 | NodeRED: True | Grafana: False
2025-11-15T21:28:45.930265 | NodeRED: True | Grafana: False
2025-11-15T21:28:53.010709 | NodeRED: True | Grafana: False
